Collection,Hadith Number,Narrated By,Hadith Text,Pillar
bukhari,1,Narrated 'Umar bin Al-Khattab:,"I heard Allah's Messenger (ﷺ) saying, ""The reward of deeds depends upon the 
     intentions and every person will get the reward according to what he 
     has intended. So whoever emigrated for worldly benefits or for a woman
     to marry, his emigration was for what he emigrated for.""",Uncategorized
bukhari,2,Narrated Ibn 'Umar:,"Allah's Messenger (ﷺ) said: Islam is based on (the following) five 
     (principles):1. To testify that none has the right to be worshipped but Allah and 
     Muhammad is Allah's Messenger (ﷺ).2. To offer the (compulsory congregational) prayers dutifully and 
     perfectly.3. To pay Zakat (i.e. obligatory charity) .4. To perform Hajj. (i.e. Pilgrimage to Mecca)5. To observe fast during the month of Ramadan.",Salat
bukhari,3,Narrated Abu Huraira:,"While the Prophet (ﷺ) was saying something in a gathering, a Bedouin came and asked him, ""When 
would the Hour (Doomsday) take place?"" Allah's Messenger (ﷺ) continued his talk, so some people said that 
Allah's Messenger (ﷺ) had heard the question, but did not like what that Bedouin had asked. Some of them 
said that Allah's Messenger (ﷺ) had not heard it. When the Prophet (ﷺ) finished his speech, he said, ""Where is 
the questioner, who inquired about the Hour (Doomsday)?"" The Bedouin said, ""I am here, O Allah's 
Apostle ."" Then the Prophet (ﷺ) said, ""When honesty is lost, then wait for the Hour (Doomsday)."" The 
Bedouin said, ""How will that be lost?"" The Prophet (ﷺ) said, ""When the power or authority comes in the 
hands of unfit persons, then wait for the Hour (Doomsday.)""",Uncategorized
bukhari,4,Narrated Abu Huraira:,"Allah's Messenger (ﷺ) said, ""The prayer of a person who does Hadath (passes urine, stool or wind) is not 
accepted till he performs the ablution."" A person from Hadaramout asked Abu Huraira, ""What is 
'Hadath'?"" Abu Huraira replied, "" 'Hadath' means the passing of wind.""",Salat
bukhari,5,Narrated `Aisha:,"Whenever the Prophet (ﷺ) took a bath after Janaba he started by washing his hands and then performed 
ablution like that for the prayer. After that he would put his fingers in water and move the roots of his 
hair with them, and then pour three handfuls of water over his head and then pour water all over his 
body.",Salat
bukhari,6,Narrated Al-Qasim:,"`Aisha said, ""We set out with the sole intention of performing Hajj and when we reached Sarif, (a 
place six miles from Mecca) I got my menses. Allah's Messenger (ﷺ) came to me while I was weeping. He 
said 'What is the matter with you? Have you got your menses?' I replied, 'Yes.' He said, 'This is a thing 
which Allah has ordained for the daughters of Adam. So do what all the pilgrims do with the 
exception of the Tawaf (Circumambulation) round the Ka`ba."" `Aisha added, ""Allah's Messenger (ﷺ) 
sacrificed cows on behalf of his wives.""",Hajj
bukhari,7,Narrated `Aisha:,"(the wife of the Prophet) We set out with Allah's Messenger (ﷺ) on one of his journeys till we reached Al- 
Baida' or Dhatul-Jaish, a necklace of mine was broken (and lost). Allah's Messenger (ﷺ) stayed there to 
search for it, and so did the people along with him. There was no water at that place, so the people 
went to Abu- Bakr As-Siddiq and said, ""Don't you see what `Aisha has done? She has made Allah's 
Apostle and the people stay where there is no water and they have no water with them."" Abu Bakr 
came while Allah's Messenger (ﷺ) was sleeping with his head on my thigh, He said, to me: ""You have 
detained Allah's Messenger (ﷺ) and the people where there is no water and they have no water with them. 
So he admonished me and said what Allah wished him to say and hit me on my flank with his hand. 
Nothing prevented me from moving (because of pain) but the position of Allah's Messenger (ﷺ) on my thigh. 
Allah's Messenger (ﷺ) got up when dawn broke and there was no water. So Allah revealed the Divine Verses 
of Tayammum. So they all performed Tayammum. Usaid bin Hudair said, ""O the family of Abu Bakr! 
This is not the first blessing of yours."" Then the camel on which I was riding was caused to move 
from its place and the necklace was found beneath it.",Uncategorized
bukhari,8,Narrated Abu Dhar:,"Allah's Messenger (ﷺ) said, ""While I was at Mecca the roof of my house was opened and Gabriel descended, 
opened my chest, and washed it with Zamzam water. Then he brought a golden tray full of wisdom 
and faith and having poured its contents into my chest, he closed it. Then he took my hand and 
ascended with me to the nearest heaven, when I reached the nearest heaven, Gabriel said to the 
gatekeeper of the heaven, 'Open (the gate).' The gatekeeper asked, 'Who is it?' Gabriel answered: 
'Gabriel.' He asked, 'Is there anyone with you?' Gabriel replied, 'Yes, Muhammad I is with me.' He 
asked, 'Has he been called?' Gabriel said, 'Yes.' So the gate was opened and we went over the nearest 
heaven and there we saw a man sitting with some people on his right and some on his left. When he 
looked towards his right, he laughed and when he looked toward his left he wept. Then he said, 
'Welcome! O pious Prophet and pious son.' I asked Gabriel, 'Who is he?' He replied, 'He is Adam and 
the people on his right and left are the souls of his offspring. Those on his right are the people of 
Paradise and those on his left are the people of Hell and when he looks towards his right he laughs and 
when he looks towards his left he weeps.' 
Then he ascended with me till he reached the second heaven and he (Gabriel) said to its gatekeeper, 
'Open (the gate).' The gatekeeper said to him the same as the gatekeeper of the first heaven had said 
and he opened the gate. Anas said: ""Abu Dhar added that the Prophet (ﷺ) met Adam, Idris, Moses, Jesus 
and Abraham, he (Abu Dhar) did not mention on which heaven they were but he mentioned that he 
(the Prophet (ﷺ) ) met Adam on the nearest heaven and Abraham on the sixth heaven. Anas said, ""When 
Gabriel along with the Prophet (ﷺ) passed by Idris, the latter said, 'Welcome! O pious Prophet and pious 
brother.' The Prophet (ﷺ) asked, 'Who is he?' Gabriel replied, 'He is Idris."" The Prophet (ﷺ) added, ""I passed 
by Moses and he said, 'Welcome! O pious Prophet and pious brother.' I asked Gabriel, 'Who is he?' 
Gabriel replied, 'He is Moses.' Then I passed by Jesus and he said, 'Welcome! O pious brother and 
pious Prophet.' I asked, 'Who is he?' Gabriel replied, 'He is Jesus. 
Then I passed by Abraham and he said, 'Welcome! O pious Prophet and pious son.' I asked Gabriel, 
'Who is he?' Gabriel replied, 'He is Abraham. The Prophet (ﷺ) added, 'Then Gabriel ascended with me to a 
place where I heard the creaking of the pens."" Ibn Hazm and Anas bin Malik said: The Prophet (ﷺ) said, 
""Then Allah enjoined fifty prayers on my followers when I returned with this order of Allah, I passed 
by Moses who asked me, 'What has Allah enjoined on your followers?' I replied, 'He has enjoined 
fifty prayers on them.' Moses said, 'Go back to your Lord (and appeal for reduction) for your followers 
will not be able to bear it.' (So I went back to Allah and requested for reduction) and He reduced it to 
half. When I passed by Moses again and informed him about it, he said, 'Go back to your Lord as your 
followers will not be able to bear it.' So I returned to Allah and requested for further reduction and 
half of it was reduced. I again passed by Moses and he said to me: 'Return to your Lord, for your 
followers will not be able to bear it. So I returned to Allah and He said, 'These are five prayers and 
they are all (equal to) fifty (in reward) for My Word does not change.' I returned to Moses and he told 
me to go back once again. I replied, 'Now I feel shy of asking my Lord again.' Then Gabriel took me 
till we '' reached Sidrat-il-Muntaha (Lote tree of; the utmost boundary) which was shrouded in colors, 
indescribable. Then I was admitted into Paradise where I found small (tents or) walls (made) of pearls 
and its earth was of musk.""",Shahada
bukhari,9,Narrated Ibn Shihab:,"Once `Umar bin `Abdul `Aziz delayed the prayer and `Urwa bin Az-Zubair went to him and said, 
""Once in 'Iraq, Al-Mughira bin Shu`ba delayed his prayers and Abi Mas`ud Al-Ansari went to him 
and said, 'O Mughira! What is this? Don't you know that once Gabriel came and offered the prayer 
(Fajr prayer) and Allah's Messenger (ﷺ) prayed too, then he prayed again (Zuhr prayer) and so did Allah's 
Apostle and again he prayed (`Asr prayers and Allah's Messenger (ﷺ) did the same; again he prayed 
(Maghrib-prayer) and so did Allah's Messenger (ﷺ) and again prayed (`Isha prayer) and so did Allah's 
Apostle and (Gabriel) said, 'I was ordered to do so (to demonstrate the prayers prescribed to you)?'"" 
`Umar (bin `Abdul `Aziz) said to `Urwa, ""Be sure of what you Say. Did Gabriel lead Allah's Messenger (ﷺ) 
at the stated times of the prayers?"" `Urwa replied, ""Bashir bin Abi Mas`ud narrated like this on the 
authority of his father."" `Urwa added, ""Aisha told me that Allah's Messenger (ﷺ) used to pray `Asr prayer 
when the sunshine was still inside her residence (during the early time of `Asr).",Salat
bukhari,10,Narrated Anas:,"The people mentioned the fire and the bell (they suggested those as signals to indicate the starting of 
prayers), and by that they mentioned the Jews and the Christians. Then Bilal was ordered to 
pronounce Adhan for the prayer by saying its wordings twice, and for the Iqama (the call for the 
actual standing for the prayers in rows) by saying its wordings once. (Iqama is pronounced when the 
people are ready for the prayer).",Salat
