chapter,chain_indx,text_ar,text_en
Revelation - كتاب بدء الوحى,"30418, 20005, 11062, 11213, 11042, 3","حدثنا الحميدي عبد الله بن الزبير، قال حدثنا سفيان، قال حدثنا يحيى بن سعيد الأنصاري، قال أخبرني محمد بن إبراهيم التيمي، أنه سمع علقمة بن وقاص الليثي، يقول سمعت عمر بن الخطاب  رضى الله عنه  على المنبر قال سمعت رسول الله صلى الله عليه وسلم يقول ‏""‏ إنما الأعمال بالنيات، وإنما لكل امرئ ما نوى، فمن كانت هجرته إلى دنيا يصيبها أو إلى امرأة ينكحها فهجرته إلى ما هاجر إليه ‏""‏‏.‏","      Narrated 'Umar bin Al-Khattab:                          I heard Allah's Apostle saying, ""The reward of deeds depends upon the      intentions and every person will get the reward according to what he      has intended. So whoever emigrated for worldly benefits or for a woman     to marry, his emigration was for what he emigrated for."""
Revelation - كتاب بدء الوحى,"30355, 20001, 11065, 10511, 53","حدثنا عبد الله بن يوسف، قال أخبرنا مالك، عن هشام بن عروة، عن أبيه، عن عائشة أم المؤمنين  رضى الله عنها  أن الحارث بن هشام  رضى الله عنه  سأل رسول الله صلى الله عليه وسلم فقال يا رسول الله كيف يأتيك الوحى فقال رسول الله صلى الله عليه وسلم ‏""‏ أحيانا يأتيني مثل صلصلة الجرس  وهو أشده على  فيفصم عني وقد وعيت عنه ما قال، وأحيانا يتمثل لي الملك رجلا فيكلمني فأعي ما يقول ‏""‏‏.‏ قالت عائشة رضى الله عنها ولقد رأيته ينزل عليه الوحى في اليوم الشديد البرد، فيفصم عنه وإن جبينه ليتفصد عرقا‏.‏","      Narrated 'Aisha:                          (the mother of the faithful believers) Al-Harith bin Hisham asked Allah's Apostle ""O Allah's Apostle! How is the Divine Inspiration revealed to you?"" Allah's Apostle replied, ""Sometimes it is (revealed) like the ringing of a bell, this form of Inspiration is the hardest of all and then this state passes off after I have grasped what is inspired. Sometimes the Angel comes in the form of a man and talks to me and I grasp whatever he says."" 'Aisha added: Verily I saw the Prophet being inspired divinely on a very cold day and noticed the sweat dropping from his forehead (as the Inspiration was over)."
Revelation - كتاب بدء الوحى,"30399, 20023, 11207, 11013, 10511, 53","حدثنا يحيى بن بكير، قال حدثنا الليث، عن عقيل، عن ابن شهاب، عن عروة بن الزبير، عن عائشة أم المؤمنين، أنها قالت أول ما بدئ به رسول الله صلى الله عليه وسلم من الوحى الرؤيا الصالحة في النوم، فكان لا يرى رؤيا إلا جاءت مثل فلق الصبح، ثم حبب إليه الخلاء، وكان يخلو بغار حراء فيتحنث فيه  وهو التعبد  الليالي ذوات العدد قبل أن ينزع إلى أهله، ويتزود لذلك، ثم يرجع إلى خديجة، فيتزود لمثلها، حتى جاءه الحق وهو في غار حراء، فجاءه الملك فقال اقرأ‏.‏ قال ‏""‏ ما أنا بقارئ ‏""‏‏.‏ قال ‏""‏ فأخذني فغطني حتى بلغ مني الجهد، ثم أرسلني فقال اقرأ‏.‏ قلت ما أنا بقارئ‏.‏ فأخذني فغطني الثانية حتى بلغ مني الجهد، ثم أرسلني فقال اقرأ‏.‏ فقلت ما أنا بقارئ‏.‏ فأخذني فغطني الثالثة، ثم أرسلني فقال ‏{‏اقرأ باسم ربك الذي خلق * خلق الإنسان من علق * اقرأ وربك الأكرم‏}‏ ‏""‏‏.‏ فرجع بها رسول الله صلى الله عليه وسلم يرجف فؤاده، فدخل على خديجة بنت خويلد رضى الله عنها فقال ‏""‏ زملوني زملوني ‏""‏‏.‏ فزملوه حتى ذهب عنه الروع، فقال لخديجة وأخبرها الخبر ‏""‏ لقد خشيت على نفسي ‏""‏‏.‏ فقالت خديجة كلا والله ما يخزيك الله أبدا، إنك لتصل الرحم، وتحمل الكل، وتكسب المعدوم، وتقري الضيف، وتعين على نوائب الحق‏.‏ فانطلقت به خديجة حتى أتت به ورقة بن نوفل بن أسد بن عبد العزى ابن عم خديجة  وكان امرأ تنصر في الجاهلية، وكان يكتب الكتاب العبراني، فيكتب من الإنجيل بالعبرانية ما شاء الله أن يكتب، وكان شيخا كبيرا قد عمي  فقالت له خديجة يا ابن عم اسمع من ابن أخيك‏.‏ فقال له ورقة يا ابن أخي ماذا ترى فأخبره رسول الله صلى الله عليه وسلم خبر ما رأى‏.‏ فقال له ورقة هذا الناموس الذي نزل الله على موسى صلى الله عليه وسلم يا ليتني فيها جذعا، ليتني أكون حيا إذ يخرجك قومك‏.‏ فقال رسول الله صلى الله عليه وسلم ‏""‏ أومخرجي هم ‏""‏‏.‏ قال نعم، لم يأت رجل قط بمثل ما جئت به إلا عودي، وإن يدركني يومك أنصرك نصرا مؤزرا‏.‏ ثم لم ينشب ورقة أن توفي وفتر الوحى‏.‏"," Narrated 'Aisha:                       (the mother of the faithful believers) The commencement of the Divine Inspiration to Allah's Apostle was in the form of good dreams which came true like bright daylight, and then the love of seclusion was bestowed upon him. He used to go in seclusion in the cave of Hira where he used to worship (Allah alone) continuously for many days before his desire to see his family. He used to take with him the journey food for the stay and then come back to (his wife) Khadija to take his food likewise again till suddenly the Truth descended upon him while he was in the cave of Hira. The angel came to him and asked him to read. The Prophet replied, ""I do not know how to read."" The Prophet added, ""The angel caught me (forcefully) and pressed me so hard that I could not bear it any more. He then released me and again asked me to read and I replied, 'I do not know how to read.' Thereupon he caught me again and pressed me a second time till I could not bear it any more. He then released me and again asked me to read but again I replied, 'I do not know how to read (or what shall I read)?' Thereupon he caught me for the third time and pressed me, and then released me and said, 'Read in the name of your Lord, who has created (all that exists), created man from a clot. Read! And your Lord is the Most Generous."" (96.1, 96.2, 96.3) Then Allah's Apostle returned with the Inspiration and with his heart beating severely. Then he went to Khadija bint Khuwailid and said, ""Cover me! Cover me!"" They covered him till his fear was over and after that he told her everything that had happened and said, ""I fear that something may happen to me."" Khadija replied, ""Never! By Allah, Allah will never disgrace you. You keep good relations with your kith and kin, help the poor and the destitute, serve your guests generously and assist the deserving calamity-afflicted ones.""  Khadija then accompanied him to her cousin Waraqa bin Naufal bin Asad bin 'Abdul 'Uzza, who, during the pre-Islamic Period became a Christian and used to write the writing with Hebrew letters. He would write from the Gospel in Hebrew as much as Allah wished him to write. He was an old man and had lost his eyesight. Khadija said to Waraqa, ""Listen to the story of your nephew, O my cousin!"" Waraqa asked, ""O my nephew! What have you seen?"" Allah's Apostle described whatever he had seen. Waraqa said, ""This is the same one who keeps the secrets (angel Gabriel) whom Allah had sent to Moses. I wish I were young and could live up to the time when your people would turn you out."" Allah's Apostle asked, ""Will they drive me out?"" Waraqa replied in the affirmative and said, ""Anyone (man) who came with something similar to what you have brought was treated with hostility; and if I should remain alive till the day when you will be turned out then I would support you strongly."" But after a few days Waraqa died and the Divine Inspiration was also paused for a while."
Revelation - كتاب بدء الوحى,"11013, 10567, 34","قال ابن شهاب وأخبرني أبو سلمة بن عبد الرحمن، أن جابر بن عبد الله الأنصاري، قال  وهو يحدث عن فترة الوحى، فقال  في حديثه ‏""‏ بينا أنا أمشي، إذ سمعت صوتا، من السماء، فرفعت بصري فإذا الملك الذي جاءني بحراء جالس على كرسي بين السماء والأرض، فرعبت منه، فرجعت فقلت زملوني‏.‏ فأنزل الله تعالى ‏{‏يا أيها المدثر * قم فأنذر‏}‏ إلى قوله ‏{‏والرجز فاهجر‏}‏ فحمي الوحى وتتابع ‏""‏‏.‏ تابعه عبد الله بن يوسف وأبو صالح‏.‏ وتابعه هلال بن رداد عن الزهري‏.‏ وقال يونس ومعمر ‏""‏ بوادره ‏""‏‏.‏"," Narrated Jabir bin 'Abdullah Al-Ansari while talking about the period of pause in revelation reporting the speech of the Prophet ""While I was walking, all of a sudden I heard a voice from the sky. I looked up and saw the same angel who had visited me at the cave of Hira' sitting on a chair between the sky and the earth. I got afraid of him and came back home and said, 'Wrap me (in blankets).' And then Allah revealed the following Holy Verses (of Quran):                       'O you (i.e. Muhammad)! wrapped up in garments!' Arise and warn (the people against Allah's Punishment),... up to 'and desert the idols.' (74.1-5) After this the revelation started coming strongly, frequently and regularly."""
Revelation - كتاب بدء الوحى,"20040, 20469, 11399, 11050, 17",حدثنا موسى بن إسماعيل، قال حدثنا أبو عوانة، قال حدثنا موسى بن أبي عائشة، قال حدثنا سعيد بن جبير، عن ابن عباس، في قوله تعالى ‏{‏لا تحرك به لسانك لتعجل به‏}‏ قال كان رسول الله صلى الله عليه وسلم يعالج من التنزيل شدة، وكان مما يحرك شفتيه  فقال ابن عباس فأنا أحركهما لكم كما كان رسول الله صلى الله عليه وسلم يحركهما‏.‏ وقال سعيد أنا أحركهما كما رأيت ابن عباس يحركهما‏.‏ فحرك شفتيه  فأنزل الله تعالى ‏{‏لا تحرك به لسانك لتعجل به* إن علينا جمعه وقرآنه‏}‏ قال جمعه له في صدرك، وتقرأه ‏{‏فإذا قرأناه فاتبع قرآنه‏}‏ قال فاستمع له وأنصت ‏{‏ثم إن علينا بيانه‏}‏ ثم إن علينا أن تقرأه‏.‏ فكان رسول الله صلى الله عليه وسلم بعد ذلك إذا أتاه جبريل استمع، فإذا انطلق جبريل قرأه النبي صلى الله عليه وسلم كما قرأه‏.‏,"      Narrated Said bin Jubair:                          Ibn 'Abbas in the explanation of the statement of Allah ""Move not your tongue concerning (the Quran) to make haste therewith."" (75.16) said ""Allah's Apostle used to bear the revelation with great trouble and used to move his lips (quickly) with the Inspiration."" Ibn 'Abbas moved his lips saying, ""I am moving my lips in front of you as Allah's Apostle used to move his."" Said moved his lips saying: ""I am moving my lips, as I saw Ibn 'Abbas moving his."" Ibn 'Abbas added, ""So Allah revealed 'Move not your tongue concerning (the Qur'an) to make haste therewith. It is for Us to collect it and to give you (O Muhammad) the ability to recite it (the Quran)' (75.16-17) which means that Allah will make him (the Prophet) remember the portion of the Qur'an which was revealed at that time by heart and recite it. The statement of Allah: 'And when we have recited it to you (O Muhammad through Gabriel) then you follow its (Quran) recital' (75.18) means 'listen to it and be silent.' Then it is for Us (Allah) to make it clear to you' (75.19) means 'Then it is (for Allah) to make you recite it (and its meaning will be clear by itself through your tongue). Afterwards, Allah's Apostle used to listen to Gabriel whenever he came and after his departure he used to recite it as Gabriel had recited it."""
Revelation - كتاب بدء الوحى,"30349, 20025, 20475, 11013, 30318, 20025, 20475, 20115, 11013, 11004, 17",حدثنا عبدان، قال أخبرنا عبد الله، قال أخبرنا يونس، عن الزهري، ح وحدثنا بشر بن محمد، قال أخبرنا عبد الله، قال أخبرنا يونس، ومعمر، عن الزهري، نحوه قال أخبرني عبيد الله بن عبد الله، عن ابن عباس، قال كان رسول الله صلى الله عليه وسلم أجود الناس، وكان أجود ما يكون في رمضان حين يلقاه جبريل، وكان يلقاه في كل ليلة من رمضان فيدارسه القرآن، فلرسول الله صلى الله عليه وسلم أجود بالخير من الريح المرسلة‏.‏,"      Narrated Ibn 'Abbas:                          Allah's Apostle was the most generous of all the people, and he used      to reach the peak in generosity in the month of Ramadan when Gabriel      met him. Gabriel used to meet him every night of Ramadan to teach him      the Qur'an. Allah's Apostle was the most generous person, even more      generous than the strong uncontrollable wind (in readiness and haste      to do charitable deeds)."
Revelation - كتاب بدء الوحى,"30330, 20428, 11013, 11004, 17",حدثنا أبو اليمان الحكم بن نافع، قال أخبرنا شعيب، عن الزهري، قال أخبرني عبيد الله بن عبد الله بن عتبة بن مسعود، أن عبد الله بن عباس، أخبره أن أبا سفيان بن حرب أخبره أن هرقل أرسل إليه في ركب من قريش  وكانوا تجارا بالشأم  في المدة التي كان رسول الله صلى الله عليه وسلم ماد فيها أبا سفيان وكفار قريش، فأتوه وهم بإيلياء فدعاهم في مجلسه، وحوله عظماء الروم ثم دعاهم ودعا بترجمانه فقال أيكم أقرب نسبا بهذا الرجل الذي يزعم أنه نبي فقال أبو سفيان فقلت أنا أقربهم نسبا‏.‏ فقال أدنوه مني، وقربوا أصحابه، فاجعلوهم عند ظهره‏.‏ ثم قال لترجمانه قل لهم إني سائل هذا عن هذا الرجل، فإن كذبني فكذبوه‏.‏ فوالله لولا الحياء من أن يأثروا على كذبا لكذبت عنه، ثم كان أول ما سألني عنه أن قال كيف نسبه فيكم قلت هو فينا ذو نسب‏.‏ قال فهل قال هذا القول منكم أحد قط قبله قلت لا‏.‏ قال فهل كان من آبائه من ملك قلت لا‏.‏ قال فأشراف الناس يتبعونه أم ضعفاؤهم فقلت بل ضعفاؤهم‏.‏ قال أيزيدون أم ينقصون قلت بل يزيدون‏.‏ قال فهل يرتد أحد منهم سخطة لدينه بعد أن يدخل فيه قلت لا‏.‏ قال فهل كنتم تتهمونه بالكذب قبل أن يقول ما قال قلت لا‏.‏ قال فهل يغدر قلت لا، ونحن منه في مدة لا ندري ما هو فاعل فيها‏.‏ قال ولم تمكني كلمة أدخل فيها شيئا غير هذه الكلمة‏.‏ قال فهل قاتلتموه قلت نعم‏.‏ قال فكيف كان قتالكم إياه قلت الحرب بيننا وبينه سجال، ينال منا وننال منه‏.‏ قال ماذا يأمركم قلت يقول اعبدوا الله وحده، ولا تشركوا به شيئا، واتركوا ما يقول آباؤكم، ويأمرنا بالصلاة والصدق والعفاف والصلة‏.‏ فقال للترجمان قل له سألتك عن نسبه، فذكرت أنه فيكم ذو نسب، فكذلك الرسل تبعث في نسب قومها، وسألتك هل قال أحد منكم هذا القول فذكرت أن لا، فقلت لو كان أحد قال هذا القول قبله لقلت رجل يأتسي بقول قيل قبله، وسألتك هل كان من آبائه من ملك فذكرت أن لا، قلت فلو كان من آبائه من ملك قلت رجل يطلب ملك أبيه، وسألتك هل كنتم تتهمونه بالكذب قبل أن يقول ما قال فذكرت أن لا، فقد أعرف أنه لم يكن ليذر الكذب على الناس ويكذب على الله، وسألتك أشراف الناس اتبعوه أم ضعفاؤهم فذكرت أن ضعفاءهم اتبعوه، وهم أتباع الرسل، وسألتك أيزيدون أم ينقصون فذكرت أنهم يزيدون، وكذلك أمر الإيمان حتى يتم، وسألتك أيرتد أحد سخطة لدينه بعد أن يدخل فيه فذكرت أن لا، وكذلك الإيمان حين تخالط بشاشته القلوب، وسألتك هل يغدر فذكرت أن لا، وكذلك الرسل لا تغدر، وسألتك بما يأمركم، فذكرت أنه يأمركم أن تعبدوا الله، ولا تشركوا به شيئا، وينهاكم عن عبادة الأوثان، ويأمركم بالصلاة والصدق والعفاف‏.‏ فإن كان ما تقول حقا فسيملك موضع قدمى هاتين، وقد كنت أعلم أنه خارج، لم أكن أظن أنه منكم، فلو أني أعلم أني أخلص إليه لتجشمت لقاءه، ولو كنت عنده لغسلت عن قدمه‏.‏ ثم دعا بكتاب رسول الله صلى الله عليه وسلم الذي بعث به دحية إلى عظيم بصرى، فدفعه إلى هرقل فقرأه فإذا فيه بسم الله الرحمن الرحيم‏.‏ من محمد عبد الله ورسوله إلى هرقل عظيم الروم‏.‏ سلام على من اتبع الهدى، أما بعد فإني أدعوك بدعاية الإسلام، أسلم تسلم، يؤتك الله أجرك مرتين، فإن توليت فإن عليك إثم الأريسيين و‏{‏يا أهل الكتاب تعالوا إلى كلمة سواء بيننا وبينكم أن لا نعبد إلا الله ولا نشرك به شيئا ولا يتخذ بعضنا بعضا أربابا من دون الله فإن تولوا فقولوا اشهدوا بأنا مسلمون‏}‏ قال أبو سفيان فلما قال ما قال، وفرغ من قراءة الكتاب كثر عنده الصخب، وارتفعت الأصوات وأخرجنا، فقلت لأصحابي حين أخرجنا لقد أمر أمر ابن أبي كبشة، إنه يخافه ملك بني الأصفر‏.‏ فما زلت موقنا أنه سيظهر حتى أدخل الله على الإسلام‏.‏ وكان ابن الناظور صاحب إيلياء وهرقل سقفا على نصارى الشأم، يحدث أن هرقل حين قدم إيلياء أصبح يوما خبيث النفس، فقال بعض بطارقته قد استنكرنا هيئتك‏.‏ قال ابن الناظور وكان هرقل حزاء ينظر في النجوم، فقال لهم حين سألوه إني رأيت الليلة حين نظرت في النجوم ملك الختان قد ظهر، فمن يختتن من هذه الأمة قالوا ليس يختتن إلا اليهود فلا يهمنك شأنهم واكتب إلى مداين ملكك، فيقتلوا من فيهم من اليهود‏.‏ فبينما هم على أمرهم أتي هرقل برجل أرسل به ملك غسان، يخبر عن خبر رسول الله صلى الله عليه وسلم فلما استخبره هرقل قال اذهبوا فانظروا أمختتن هو أم لا‏.‏ فنظروا إليه، فحدثوه أنه مختتن، وسأله عن العرب فقال هم يختتنون‏.‏ فقال هرقل هذا ملك هذه الأمة قد ظهر‏.‏ ثم كتب هرقل إلى صاحب له برومية، وكان نظيره في العلم، وسار هرقل إلى حمص، فلم يرم حمص حتى أتاه كتاب من صاحبه يوافق رأى هرقل على خروج النبي صلى الله عليه وسلم وأنه نبي، فأذن هرقل لعظماء الروم في دسكرة له بحمص ثم أمر بأبوابها فغلقت، ثم اطلع فقال يا معشر الروم، هل لكم في الفلاح والرشد وأن يثبت ملككم فتبايعوا هذا النبي، فحاصوا حيصة حمر الوحش إلى الأبواب، فوجدوها قد غلقت، فلما رأى هرقل نفرتهم، وأيس من الإيمان قال ردوهم على‏.‏ وقال إني قلت مقالتي آنفا أختبر بها شدتكم على دينكم، فقد رأيت‏.‏ فسجدوا له ورضوا عنه، فكان ذلك آخر شأن هرقل‏.‏ رواه صالح بن كيسان ويونس ومعمر عن الزهري‏.‏,"      Narrated 'Abdullah bin 'Abbas:                          Abu Sufyan bin Harb informed me that Heraclius had sent a messenger to     him while he had been accompanying a caravan from Quraish. They were      merchants doing business in Sham (Syria, Palestine, Lebanon and      Jordan), at the time when Allah's Apostle had truce with Abu Sufyan      and Quraish infidels. So Abu Sufyan and his companions went to      Heraclius at Ilya (Jerusalem). Heraclius called them in the court and      he had all the senior Roman dignitaries around him. He called for his      translator who, translating Heraclius's question said to them, ""Who      amongst you is closely related to that man who claims to be a      Prophet?"" Abu Sufyan replied, ""I am the nearest relative to him      (amongst the group).""     Heraclius said, ""Bring him (Abu Sufyan) close to me and make his      companions stand behind him."" Abu Sufyan added, Heraclius told his      translator to tell my companions that he wanted to put some questions      to me regarding that man (The Prophet) and that if I told a lie they      (my companions) should contradict me."" Abu Sufyan added, ""By Allah!      Had I not been afraid of my companions labeling me a liar, I would not     have spoken the truth about the Prophet. The first question he asked      me about him was:     'What is his family status amongst you?'      I replied, 'He belongs to a good (noble) family amongst us.'      Heraclius further asked, 'Has anybody amongst you ever claimed the      same (i.e. to be a Prophet) before him?'     I replied, 'No.'     He said, 'Was anybody amongst his ancestors a king?'     I replied, 'No.'     Heraclius asked, 'Do the nobles or the poor follow him?'     I replied, 'It is the poor who follow him.'     He said, 'Are his followers increasing decreasing (day by day)?'     I replied, 'They are increasing.'     He then asked, 'Does anybody amongst those who embrace his religion      become displeased and renounce the religion afterwards?'     I replied, 'No.'     Heraclius said, 'Have you ever accused him of telling lies before his      claim (to be a Prophet)?'     I replied, 'No. '     Heraclius said, 'Does he break his promises?'     I replied, 'No. We are at truce with him but we do not know what he      will do in it.' I could not find opportunity to say anything against      him except that.     Heraclius asked, 'Have you ever had a war with him?'     I replied, 'Yes.'     Then he said, 'What was the outcome of the battles?'     I replied, 'Sometimes he was victorious and sometimes we.'     Heraclius said, 'What does he order you to do?'     I said, 'He tells us to worship Allah and Allah alone and not to      worship anything along with Him, and to renounce all that our      ancestors had said. He orders us to pray, to speak the truth, to be      chaste and to keep good relations with our Kith and kin.'     Heraclius asked the translator to convey to me the following, I asked      you about his family and your reply was that he belonged to a very      noble family. In fact all the Apostles come from noble families      amongst their respective peoples. I questioned you whether anybody      else amongst you claimed such a thing, your reply was in the negative.     If the answer had been in the affirmative, I would have thought that      this man was following the previous man's statement. Then I asked you      whether anyone of his ancestors was a king. Your reply was in the      negative, and if it had been in the affirmative, I would have thought      that this man wanted to take back his ancestral kingdom.     I further asked whether he was ever accused of telling lies before he      said what he said, and your reply was in the negative. So I wondered      how a person who does not tell a lie about others could ever tell a      lie about Allah. I, then asked you whether the rich people followed      him or the poor. You replied that it was the poor who followed him.      And in fact all the Apostle have been followed by this very class of      people. Then I asked you whether his followers were increasing or      decreasing. You replied that they were increasing, and in fact this is     the way of true faith, till it is complete in all respects. I further      asked you whether there was anybody, who, after embracing his      religion, became displeased and discarded his religion. Your reply was     in the negative, and in fact this is (the sign of) true faith, when      its delight enters the hearts and mixes with them completely. I asked      you whether he had ever betrayed. You replied in the negative and      likewise the Apostles never betray. Then I asked you what he ordered      you to do. You replied that he ordered you to worship Allah and Allah      alone and not to worship any thing along with Him and forbade you to      worship idols and ordered you to pray, to speak the truth and to be      chaste. If what you have said is true, he will very soon occupy this      place underneath my feet and I knew it (from the scriptures) that he      was going to appear but I did not know that he would be from you, and      if I could reach him definitely, I would go immediately to meet him      and if I were with him, I would certainly wash his feet.' Heraclius      then asked for the letter addressed by Allah's Apostle     which was delivered by Dihya to the Governor of Busra, who forwarded      it to Heraclius to read. The contents of the letter were as follows:      ""In the name of Allah the Beneficent, the Merciful (This letter is)      from Muhammad the slave of Allah and His Apostle to Heraclius the      ruler of Byzantine. Peace be upon him, who follows the right path.      Furthermore I invite you to Islam, and if you become a Muslim you will     be safe, and Allah will double your reward, and if you reject this      invitation of Islam you will be committing a sin by misguiding your      Arisiyin (peasants). (And I recite to you Allah's Statement:)     'O people of the scripture! Come to a word common to you and us that      we worship none but Allah and that we associate nothing in worship      with Him, and that none of us shall take others as Lords beside Allah.     Then, if they turn away, say: Bear witness that we are Muslims (those      who have surrendered to Allah).' (3:64).     Abu Sufyan then added, ""When Heraclius had finished his speech and had     read the letter, there was a great hue and cry in the Royal Court. So      we were turned out of the court. I told my companions that the      question of Ibn-Abi-Kabsha) (the Prophet Muhammad) has become so      prominent that even the King of Bani Al-Asfar (Byzantine) is afraid of     him. Then I started to become sure that he (the Prophet) would be the      conqueror in the near future till I embraced Islam (i.e. Allah guided      me to it).""     The sub narrator adds, ""Ibn An-Natur was the Governor of llya'      (Jerusalem) and Heraclius was the head of the Christians of Sham. Ibn      An-Natur narrates that once while Heraclius was visiting ilya'      (Jerusalem), he got up in the morning with a sad mood. Some of his      priests asked him why he was in that mood? Heraclius was a foreteller      and an astrologer. He replied, 'At night when I looked at the stars, I     saw that the leader of those who practice circumcision had appeared      (become the conqueror). Who are they who practice circumcision?' The      people replied, 'Except the Jews nobody practices circumcision, so you     should not be afraid of them (Jews).     'Just Issue orders to kill every Jew present in the country.'     While they were discussing it, a messenger sent by the king of Ghassan     to convey the news of Allah's Apostle to Heraclius was brought in.      Having heard the news, he (Heraclius) ordered the people to go and see     whether the messenger of Ghassan was circumcised. The people, after      seeing him, told Heraclius that he was circumcised. Heraclius then      asked him about the Arabs. The messenger replied, 'Arabs also practice     circumcision.'     (After hearing that) Heraclius remarked that sovereignty of the 'Arabs     had appeared. Heraclius then wrote a letter to his friend in Rome who      was as good as Heraclius in knowledge. Heraclius then left for Homs.      (a town in Syrian and stayed there till he received the reply of his      letter from his friend who agreed with him in his opinion about the      emergence of the Prophet and the fact that he was a Prophet. On that      Heraclius invited all the heads of the Byzantines to assemble in his      palace at Homs. When they assembled, he ordered that all the doors of      his palace be closed. Then he came out and said, 'O Byzantines! If      success is your desire and if you seek right guidance and want your      empire to remain then give a pledge of allegiance to this Prophet      (i.e. embrace Islam).'     (On hearing the views of Heraclius) the people ran towards the gates      of the palace like onagers but found the doors closed. Heraclius      realized their hatred towards Islam and when he lost the hope of their     embracing Islam, he ordered that they should be brought back in      audience.     (When they returned) he said, 'What already said was just to test the      strength of your conviction and I have seen it.' The people prostrated     before him and became pleased with him, and this was the end of      Heraclius's story (in connection with his faith)."
Belief - كتاب الإيمان,"20340, 11243, 11709, 18","حدثنا عبيد الله بن موسى، قال أخبرنا حنظلة بن أبي سفيان، عن عكرمة بن خالد، عن ابن عمر  رضى الله عنهما  قال قال رسول الله صلى الله عليه وسلم ‏""‏ بني الإسلام على خمس شهادة أن لا إله إلا الله وأن محمدا رسول الله، وإقام الصلاة، وإيتاء الزكاة، والحج، وصوم رمضان ‏""‏‏.‏",      Narrated Ibn 'Umar:                          Allah's Apostle said: Islam is based on (the following) five      (principles):     1. To testify that none has the right to be worshipped but Allah and      Muhammad is Allah's Apostle.     2. To offer the (compulsory congregational) prayers dutifully and      perfectly.     3. To pay Zakat (i.e. obligatory charity) .     4. To perform Hajj. (i.e. Pilgrimage to Mecca)     5. To observe fast during the month of Ramadan.
Belief - كتاب الإيمان,"30351, 20443, 20160, 11183, 11161, 13","حدثنا عبد الله بن محمد، قال حدثنا أبو عامر العقدي، قال حدثنا سليمان بن بلال، عن عبد الله بن دينار، عن أبي صالح، عن أبي هريرة  رضى الله عنه  عن النبي صلى الله عليه وسلم قال ‏""‏ الإيمان بضع وستون شعبة، والحياء شعبة من الإيمان ‏""‏‏.‏","      Narrated Abu Huraira:                          The Prophet said, ""Faith (Belief) consists of more than sixty branches     (i.e. parts). And Haya (This term ""Haya"" covers a large number of      concepts which are to be taken together; amongst them are self      respect, modesty, bashfulness, and scruple, etc.) is a part of      faith."""
Belief - كتاب الإيمان,"20404, 20020, 11636, 20208, 11052, 29","حدثنا آدم بن أبي إياس، قال حدثنا شعبة، عن عبد الله بن أبي السفر، وإسماعيل، عن الشعبي، عن عبد الله بن عمرو  رضى الله عنهما  عن النبي صلى الله عليه وسلم قال ‏""‏ المسلم من سلم المسلمون من لسانه ويده، والمهاجر من هجر ما نهى الله عنه ‏""‏‏.‏ قال أبو عبد الله وقال أبو معاوية حدثنا داود عن عامر قال سمعت عبد الله عن النبي صلى الله عليه وسلم‏.‏ وقال عبد الأعلى عن داود عن عامر عن عبد الله عن النبي صلى الله عليه وسلم‏.‏","      Narrated 'Abdullah bin 'Amr:                          The Prophet said, ""A Muslim is the one who avoids harming Muslims with     his tongue and hands. And a Muhajir (emigrant) is the one who gives up     (abandons) all what Allah has forbidden."""
